lat = 2.0044, lon = -49.1105
Drehung: 111.32, Neigung: -32.13
lat = 1.7508, lon = -48.9306
Drehung: 111.64, Neigung: -32.18
lat = 1.4718, lon = -48.7327
Drehung: 111.99, Neigung: -32.23
lat = 1.1927, lon = -48.5349
Drehung: 112.34, Neigung: -32.29
lat = 0.9137, lon = -48.3372
Drehung: 112.68, Neigung: -32.34
lat = 0.6346, lon = -48.1395
Drehung: 113.03, Neigung: -32.40
lat = 0.3556, lon = -47.9418
Drehung: 113.38, Neigung: -32.45
lat = 0.1018, lon = -47.7620
Drehung: 113.70, Neigung: -32.50
lat = -0.1772, lon = -47.5644
Drehung: 114.05, Neigung: -32.55
lat = -0.4562, lon = -47.3668
Drehung: 114.39, Neigung: -32.61
lat = -0.7352, lon = -47.1691
Drehung: 114.74, Neigung: -32.67
lat = -1.0141, lon = -46.9715
Drehung: 115.09, Neigung: -32.72
lat = -1.2677, lon = -46.7918
Drehung: 115.40, Neigung: -32.77
lat = -1.5466, lon = -46.5940
Drehung: 115.75, Neigung: -32.83
lat = -1.8256, lon = -46.3962
Drehung: 116.09, Neigung: -32.89
lat = -2.1045, lon = -46.1983
Drehung: 116.44, Neigung: -32.94
lat = -2.3834, lon = -46.0004
Drehung: 116.78, Neigung: -33.00
lat = -2.6623, lon = -45.8023
Drehung: 117.12, Neigung: -33.06
lat = -2.9157, lon = -45.6221
Drehung: 117.43, Neigung: -33.11
lat = -3.1945, lon = -45.4239
Drehung: 117.78, Neigung: -33.17
lat = -3.4732, lon = -45.2255
Drehung: 118.12, Neigung: -33.23
lat = -3.7518, lon = -45.0270
Drehung: 118.46, Neigung: -33.29
lat = -4.0304, lon = -44.8284
Drehung: 118.80, Neigung: -33.35
lat = -4.2835, lon = -44.6477
Drehung: 119.11, Neigung: -33.40
lat = -4.5620, lon = -44.4488
Drehung: 119.45, Neigung: -33.46
lat = -4.8404, lon = -44.2497
Drehung: 119.79, Neigung: -33.52
lat = -5.1187, lon = -44.0504
Drehung: 120.13, Neigung: -33.58
lat = -5.3969, lon = -43.8509
Drehung: 120.47, Neigung: -33.65
lat = -5.6499, lon = -43.6694
Drehung: 120.78, Neigung: -33.70
lat = -5.9280, lon = -43.4695
Drehung: 121.12, Neigung: -33.76
lat = -6.2059, lon = -43.2694
Drehung: 121.46, Neigung: -33.82
lat = -6.4838, lon = -43.0691
Drehung: 121.80, Neigung: -33.89
lat = -6.7616, lon = -42.8686
Drehung: 122.13, Neigung: -33.95
lat = -7.0392, lon = -42.6678
Drehung: 122.47, Neigung: -34.01
lat = -7.3168, lon = -42.4666
Drehung: 122.81, Neigung: -34.07
lat = -7.5690, lon = -42.2836
Drehung: 123.11, Neigung: -34.13
lat = -7.8715, lon = -42.0637
